City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
beterou,100,BJ,1635298737,86,9.1992,2.2586,74.84,3.33
sao filipe,61,CV,1635298738,77,14.8961,-24.4956,78.93,11.36
punta arenas,0,CL,1635298661,70,-53.15,-70.9167,42.91,14.97
dunedin,80,NZ,1635298739,83,-45.8742,170.5036,57.54,4.52
chik,20,RU,1635298739,63,54.9928,82.4311,28.18,11.18
kota bahru,20,MY,1635298739,88,6.1333,102.2386,84.88,5.01
padang,100,ID,1635298740,81,-0.9492,100.3543,78.85,1.7
ust-uda,98,RU,1635298740,64,54.1742,103.0304,40.98,2.77
san pedro de ycuamandiyu,18,PY,1635298740,71,-24.0917,-57.0764,69.28,4.72
hasaki,100,JP,1635298698,64,35.7333,140.8333,59.4,9.22
riyadh,0,SA,1635298626,26,24.6877,46.7219,73.54,10.18
yellowknife,90,CA,1635298741,100,62.456,-114.3525,40.41,4.61
rio grande,0,BR,1635298660,81,-32.035,-52.0986,63.95,4.16
burnie,0,AU,1635298742,54,-41.0667,145.9167,60.94,7.11
saint-louis,96,SN,1635298742,46,16.3333,-15,83.43,9.71
rikitea,100,PF,1635298743,83,-23.1203,-134.9692,74.46,12.82
puerto ayora,95,EC,1635298535,93,-0.7393,-90.3518,68.56,3
ushuaia,20,AR,1635298630,81,-54.8,-68.3,40.66,11.5
port alfred,99,ZA,1635298743,85,-33.5906,26.891,67.1,29.77
dauriya,1,RU,1635298744,80,49.9333,116.8667,36.34,5.1
diamantino,98,BR,1635298744,84,-14.4086,-56.4461,73.85,3.44
lannion,0,FR,1635298744,94,48.75,-3.4167,55.65,9.22
kapaa,1,US,1635298745,71,22.0752,-159.319,82.38,3
mar del plata,0,AR,1635298452,68,-38.0023,-57.5575,63.88,3
partenit,49,UA,1635298745,79,44.578,34.3446,43.21,6.44
tuktoyaktuk,90,CA,1635298746,100,69.4541,-133.0374,28.4,2.3
vaini,20,TO,1635298746,78,-21.2,-175.2,78.96,14.97
hermanus,84,ZA,1635298657,86,-34.4187,19.2345,64.9,16.69
vestmannaeyjar,100,IS,1635298558,82,63.4427,-20.2734,44.67,24.67
matara,86,LK,1635298747,82,5.9485,80.5353,76.59,6.71
qovlar,0,AZ,1635298747,88,40.948,45.735,36.45,0.65
henties bay,98,NA,1635298748,80,-22.116,14.2845,58.86,8.23
saldanha,77,ZA,1635298505,68,-33.0117,17.9442,63.79,7.45
hirara,40,JP,1635298748,53,24.8,125.2833,80.46,11.5
mayo,90,CA,1635298749,100,63.5927,-135.8998,30.2,0
kyshtovka,54,RU,1635298749,77,56.555,76.6271,27.81,11.86
lagoa,100,PT,1635298674,90,39.05,-27.9833,68.68,26.55
kaitangata,67,NZ,1635298750,72,-46.2817,169.8464,59.47,7.29
oron,100,NG,1635298750,93,4.8256,8.2343,75.25,1.63
cape town,0,ZA,1635298512,65,-33.9258,18.4232,65.26,1.99
orotukan,17,RU,1635298750,85,62.2667,151.7,9.61,2.06
nizhniy kuranakh,100,RU,1635298751,93,58.8353,125.4869,32.67,11.54
jimeta,85,NG,1635298751,87,9.2833,12.4667,75.36,2.26
tiznit,1,MA,1635298752,77,29.5833,-9.5,59.0,0.6
qaanaaq,100,GL,1635298752,94,77.484,-69.3632,20.07,13.76
